City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,kalmunai,LK,78.01,heavy intensity rain,7.4167,81.8167,VS Villa
5,avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
6,salinopolis,BR,78.37,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
9,elat,IL,77.0,clear sky,29.5581,34.9482,Club Hotel Eilat
10,butaritari,KI,82.47,few clouds,3.0707,172.7902,Isles Sunset Lodge
13,hithadhoo,MV,83.19,overcast clouds,-0.6,73.0833,Scoop Guest House
16,mahebourg,MU,78.8,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
23,vaini,TO,84.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
31,huarmey,PE,76.57,clear sky,-10.0681,-78.1522,Hotel Miramar
34,rikitea,PF,80.02,clear sky,-23.1203,-134.9692,Pension Maro'i
35,jalu,LY,76.35,broken clouds,29.0331,21.5482,صاحبة الفخامة
41,biak,ID,77.11,overcast clouds,-0.9131,122.8766,Penginapan Kim
43,reyes,BO,87.8,scattered clouds,-14.3167,-67.3833,
44,puerto ayora,EC,84.2,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,sassandra,CI,79.18,overcast clouds,4.95,-6.0833,la terrasse
46,atuona,PF,80.33,few clouds,-9.8,-139.0333,Villa Enata
49,aden,YE,77.86,clear sky,12.7794,45.0367,Sama Emirate Hotel
50,georgetown,MY,82.0,few clouds,5.4112,100.3354,Cititel Penang
51,dingle,PH,76.93,clear sky,10.9995,122.6711,SEGAYA PROPERTY
53,pitimbu,BR,78.8,clear sky,-7.4706,-34.8086,Reserva do Abiaí
57,black river,JM,82.4,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
58,cidreira,BR,77.16,clear sky,-30.1811,-50.2056,Hotel Castelo
62,umm kaddadah,SD,80.65,few clouds,13.6017,26.6876,
68,tanete,ID,75.54,broken clouds,-3.9443,119.7848,Wisma Tri Multi
69,bilma,NE,88.21,few clouds,18.6853,12.9164,Expeditions Ténére voyages
72,yarada,IN,77.0,mist,17.65,83.2667,Jeevan
73,maceio,BR,78.8,broken clouds,-9.6658,-35.7353,Poutur Pousada
83,bengkulu,ID,76.14,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
90,tombouctou,ML,77.52,clear sky,20.0,-3.0,
91,san policarpo,PH,81.05,overcast clouds,12.1791,125.5072,JM Lodge
99,baghmara,IN,77.4,clear sky,23.795,86.2085,Shankar tea shop
100,araouane,ML,79.14,clear sky,18.9048,-3.5265,
102,sola,VU,81.16,overcast clouds,-13.8833,167.55,Leumerus Bungalows
108,lorengau,PG,83.16,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
112,salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
116,touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
120,mamallapuram,IN,75.2,mist,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
121,trairi,BR,78.93,clear sky,-3.2778,-39.2689,janelas do mar
126,sao joao da barra,BR,80.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
127,alofi,NU,84.2,light rain,-19.0595,-169.9187,Taloa Heights
129,hualmay,PE,75.61,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
131,ambunti,PG,75.92,overcast clouds,-4.2365,142.8448,Ambunti Lodge
135,cabo san lucas,MX,86.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
136,eirunepe,BR,77.68,overcast clouds,-6.6603,-69.8736,Atrás de você
142,epe,NG,78.4,light rain,6.5841,3.9834,MAGVILLE HOTEL
150,cayenne,GF,80.6,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
156,flic en flac,MU,80.01,light rain,-20.2742,57.3631,Hilton Mauritius Resort & Spa
157,biltine,TD,85.37,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
160,lagos,NG,78.93,overcast clouds,6.5833,3.75,
164,kavieng,PG,84.13,moderate rain,-2.5744,150.7967,Nusa Island Retreat
167,grand gaube,MU,80.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
173,bambous virieux,MU,80.01,moderate rain,-20.3428,57.7575,Casa Tia Villa
178,souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
184,majene,ID,78.26,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
186,bireun,ID,77.56,broken clouds,5.202999999999999,96.7009,Hotel Fajar
189,port-gentil,GA,80.6,moderate rain,-0.7193,8.7815,Fengshui Residence
