City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,ushuaia,AR,-54.8,-68.3,50.0,50.0,62,40,34.52,light rain
1,kalmunai,LK,7.4167,81.8167,78.01,78.01,84,95,2.73,heavy intensity rain
2,khatanga,RU,71.9667,102.5,-38.11,-38.11,97,17,9.69,few clouds
3,tuktoyaktuk,CA,69.4541,-133.0374,-13.0,-13.0,77,75,8.05,broken clouds
4,castro,BR,-24.7911,-50.0119,67.98,67.98,92,73,4.34,broken clouds
5,avarua,CK,-21.2078,-159.775,82.4,82.4,78,20,12.66,light rain
6,salinopolis,BR,-0.6136,-47.3561,78.37,78.37,82,86,5.91,overcast clouds
7,athens,GR,37.9795,23.7162,57.0,53.01,76,75,4.61,broken clouds
8,omaruru,NA,-21.4333,15.9333,69.76,69.76,75,70,6.15,light rain
9,elat,IL,29.5581,34.9482,77.0,77.0,29,0,4.61,clear sky
10,butaritari,KI,3.0707,172.7902,82.47,82.47,78,15,18.48,few clouds
11,upernavik,GL,72.7868,-56.1549,-1.48,-1.48,97,100,13.69,overcast clouds
12,kruisfontein,ZA,-34.0033,24.7314,64.0,64.0,86,9,1.99,light rain
13,hithadhoo,MV,-0.6,73.0833,83.19,83.19,69,100,9.82,overcast clouds
14,bredasdorp,ZA,-34.5322,20.0403,55.4,55.4,94,51,2.3,broken clouds
15,sydney mines,CA,46.2367,-60.2177,32.0,30.0,59,75,9.22,light snow
16,mahebourg,MU,-20.4081,57.7,78.8,78.8,89,75,10.36,moderate rain
17,hilo,US,19.7297,-155.09,69.8,62.01,83,90,8.05,light rain
18,barrow,US,71.2906,-156.7887,-9.4,-9.4,77,1,10.36,clear sky
19,albany,US,42.6001,-73.9662,53.6,46.99,26,20,14.97,few clouds
20,dikson,RU,73.5069,80.5464,-23.96,-23.96,83,8,18.05,clear sky
21,port alfred,ZA,-33.5906,26.891,67.77,67.77,88,52,15.68,light rain
22,mataura,NZ,-46.1927,168.8643,54.0,54.0,96,86,3.0,overcast clouds
23,vaini,TO,-21.2,-175.2,84.2,84.2,79,40,8.05,scattered clouds
24,hermanus,ZA,-34.4187,19.2345,63.0,63.0,70,23,7.0,few clouds
25,ovre ardal,NO,61.3167,7.8,31.6,31.6,97,97,8.59,light snow
26,jumla,NP,29.2747,82.1838,40.8,40.8,68,16,3.87,few clouds
27,hengshui,CN,37.7322,115.7011,39.06,39.06,29,0,14.23,clear sky
28,atar,MR,20.5169,-13.0499,72.23,72.23,11,25,10.47,scattered clouds
29,cape town,ZA,-33.9258,18.4232,64.99,63.0,68,20,13.8,few clouds
30,hirara,JP,24.8,125.2833,69.8,69.8,88,75,10.36,broken clouds
31,huarmey,PE,-10.0681,-78.1522,76.57,76.57,68,1,10.09,clear sky
32,busselton,AU,-33.65,115.3333,67.48,67.48,47,0,4.05,clear sky
33,taft,IR,31.7471,54.2088,59.0,59.0,17,40,6.91,scattered clouds
34,rikitea,PF,-23.1203,-134.9692,80.02,80.02,73,5,7.47,clear sky
35,jalu,LY,29.0331,21.5482,76.35,76.35,15,54,10.67,broken clouds
36,kapaa,US,22.0752,-159.319,73.99,73.4,73,75,20.71,light rain
37,katsuura,JP,35.1333,140.3,64.4,62.01,82,75,8.05,mist
38,port elizabeth,ZA,-33.918,25.5701,64.0,64.0,86,6,1.99,light rain
39,cherskiy,RU,68.75,161.3,-16.55,-16.55,85,0,5.35,clear sky
40,nikolskoye,RU,59.7035,30.7861,27.0,25.0,86,90,13.42,snow
41,biak,ID,-0.9131,122.8766,77.11,77.11,76,100,2.24,overcast clouds
42,yellowknife,CA,62.456,-114.3525,10.99,10.0,61,75,20.71,snow
43,reyes,BO,-14.3167,-67.3833,87.8,84.2,66,40,6.91,scattered clouds
44,puerto ayora,EC,-0.7393,-90.3518,84.2,82.99,70,20,9.22,few clouds
45,sassandra,CI,4.95,-6.0833,79.18,79.18,85,89,6.98,overcast clouds
46,atuona,PF,-9.8,-139.0333,80.33,80.33,78,16,12.73,few clouds
47,swinoujscie,PL,53.9105,14.2471,36.0,35.01,81,100,1.99,overcast clouds
48,chokurdakh,RU,70.6333,147.9167,-17.45,-17.45,97,0,3.74,clear sky
49,aden,YE,12.7794,45.0367,77.86,77.86,64,0,7.56,clear sky
50,georgetown,MY,5.4112,100.3354,82.0,77.0,88,20,3.44,few clouds
51,dingle,PH,10.9995,122.6711,76.93,76.93,88,0,6.64,clear sky
52,nanortalik,GL,60.1432,-45.2371,31.41,31.41,98,100,14.09,snow
53,pitimbu,BR,-7.4706,-34.8086,78.8,78.8,83,0,9.22,clear sky
54,codrington,AU,-38.2667,141.9667,64.92,64.92,73,100,7.76,light rain
55,thompson,CA,55.7435,-97.8558,53.6,53.6,28,40,6.91,scattered clouds
56,aykhal,RU,66.0,111.5,-32.91,-32.91,96,100,38.9,overcast clouds
57,black river,JM,18.0264,-77.8487,82.4,81.0,74,20,8.05,few clouds
58,cidreira,BR,-30.1811,-50.2056,77.16,77.16,87,6,20.49,clear sky
59,ust-tsilma,RU,65.441,52.1498,3.49,3.49,96,59,3.87,broken clouds
60,yerbogachen,RU,61.2767,108.0108,-32.06,-32.06,91,0,6.35,clear sky
61,laguna,US,38.421,-121.4238,63.0,57.2,41,40,9.22,scattered clouds
62,umm kaddadah,SD,13.6017,26.6876,80.65,80.65,15,12,14.18,few clouds
63,lenger,KZ,42.183,69.8839,44.6,44.6,100,90,2.24,fog
64,valley city,US,46.9233,-98.0032,62.6,62.6,45,1,26.46,clear sky
65,sioux lookout,CA,50.1001,-91.917,57.2,57.2,35,40,13.8,scattered clouds
66,punta arenas,CL,-53.15,-70.9167,51.8,51.01,58,75,24.16,broken clouds
