City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-03-08 20:22:12,-53.15,-70.9167,62.6,48,40,29.93
1,Vilhena,BR,2021-03-08 20:25:30,-12.7406,-60.1458,71.6,100,75,9.22
2,Terney,RU,2021-03-08 20:25:30,45.0503,136.6092,23.13,88,29,5.91
3,Sydney Mines,CA,2021-03-08 20:25:31,46.2367,-60.2177,28.99,74,75,9.22
4,Albany,US,2021-03-08 20:24:15,42.6001,-73.9662,39.0,25,71,5.93
5,Snezhnogorsk,RU,2021-03-08 20:25:32,69.1933,33.2531,-18.4,83,0,2.24
6,San Patricio,US,2021-03-08 20:25:33,28.017,-97.5169,73.4,56,75,17.27
7,Rikitea,PF,2021-03-08 20:24:38,-23.1203,-134.9692,80.83,81,51,12.41
8,Cidreira,BR,2021-03-08 20:25:34,-30.1811,-50.2056,78.12,69,2,7.09
9,Egvekinot,RU,2021-03-08 20:25:34,66.3167,-179.1667,-14.75,93,100,3.62
10,Iqaluit,CA,2021-03-08 20:25:34,63.7506,-68.5145,6.8,78,90,4.61
11,Ust-Kut,RU,2021-03-08 20:25:35,56.7938,105.7672,9.91,93,100,3.94
12,Kodiak,US,2021-03-08 20:25:35,57.79,-152.4072,37.4,70,1,3.44
13,Shache,CN,2021-03-08 20:25:36,38.4167,77.2406,47.16,49,80,1.59
14,Atuona,PF,2021-03-08 20:25:36,-9.8,-139.0333,79.25,70,49,12.82
15,Hobart,AU,2021-03-08 20:25:36,-42.8794,147.3294,57.2,54,20,10.36
16,Ushuaia,AR,2021-03-08 20:25:37,-54.8,-68.3,62.6,45,40,17.27
17,Hermanus,ZA,2021-03-08 20:25:38,-34.4187,19.2345,55.0,86,19,7.72
18,Mar Del Plata,AR,2021-03-08 20:25:38,-38.0023,-57.5575,64.4,59,40,18.41
19,Bredasdorp,ZA,2021-03-08 20:25:39,-34.5322,20.0403,53.6,82,71,4.61
20,Talnakh,RU,2021-03-08 20:25:39,69.4865,88.3972,-10.46,89,96,0.47
21,Kingaroy,AU,2021-03-08 20:25:40,-26.5333,151.8333,68.0,94,90,4.61
22,Castro,BR,2021-03-08 20:25:40,-24.7911,-50.0119,72.57,83,9,2.06
23,Houma,US,2021-03-08 20:25:08,29.5958,-90.7195,71.01,43,1,10.36
24,Mataura,NZ,2021-03-08 20:25:41,-46.1927,168.8643,55.0,79,87,3.0
25,Lithakia,GR,2021-03-08 20:25:41,37.7167,20.8333,51.8,93,75,9.22
26,Ercis,TR,2021-03-08 20:25:42,39.0287,43.3586,35.6,64,75,16.11
27,Bluff,NZ,2021-03-08 20:25:42,-46.6,168.3333,55.0,79,95,3.0
28,Lebu,CL,2021-03-08 20:25:10,-37.6167,-73.65,63.43,59,77,16.75
29,Sur,OM,2021-03-08 20:25:43,22.5667,59.5289,72.16,67,0,7.99
30,Voi,KE,2021-03-08 20:25:44,-3.3945,38.563,73.31,80,14,4.45
31,Saint George,US,2021-03-08 20:22:34,37.1041,-113.5841,75.0,12,1,24.16
32,Vaini,TO,2021-03-08 20:25:44,-21.2,-175.2,77.0,69,75,11.5
33,Fort Nelson,CA,2021-03-08 20:25:45,58.8053,-122.7002,17.6,62,90,10.36
34,Kapaa,US,2021-03-08 20:25:45,22.0752,-159.319,75.2,73,90,24.16
35,Leningradskiy,RU,2021-03-08 20:25:45,69.3833,178.4167,-14.53,87,100,1.99
36,Ixtapa,MX,2021-03-08 20:25:46,20.7,-105.2,80.6,61,1,11.5
37,Grand Gaube,MU,2021-03-08 20:25:46,-20.0064,57.6608,77.0,80,0,1.99
38,Touros,BR,2021-03-08 20:25:47,-5.1989,-35.4608,84.2,65,20,10.36
39,Vila Franca Do Campo,PT,2021-03-08 20:25:47,37.7167,-25.4333,55.4,88,20,12.66
40,Crib Point,AU,2021-03-08 20:25:48,-38.35,145.2,60.01,93,68,9.1
41,Mersing,MY,2021-03-08 20:25:48,2.4312,103.8405,78.8,83,70,9.22
42,Radeberg,DE,2021-03-08 20:25:48,51.1167,13.9167,33.8,44,0,2.3
43,Yarovoye,RU,2021-03-08 20:25:49,52.9273,78.58,3.54,92,42,9.8
44,Puerto Ayora,EC,2021-03-08 20:25:49,-0.7393,-90.3518,84.2,70,20,8.05
45,Tuktoyaktuk,CA,2021-03-08 20:25:49,69.4541,-133.0374,-23.8,76,1,3.44
46,Havelock,US,2021-03-08 20:25:50,34.8791,-76.9013,57.99,26,1,4.61
47,Fortuna,US,2021-03-08 20:25:50,40.5982,-124.1573,51.01,81,40,17.27
48,Gorom-Gorom,BF,2021-03-08 20:25:50,14.4439,-0.2361,87.51,13,1,5.86
49,Butaritari,KI,2021-03-08 20:25:51,3.0707,172.7902,80.49,78,100,11.54
50,Ati,TD,2021-03-08 20:25:52,13.2154,18.3353,82.31,11,0,11.05
51,Strezhevoy,RU,2021-03-08 20:25:52,60.7333,77.5889,-2.2,84,0,4.47
52,Cape Town,ZA,2021-03-08 20:24:17,-33.9258,18.4232,66.0,63,0,3.44
53,Mirnyy,RU,2021-03-08 20:25:53,62.5353,113.9611,5.79,94,99,8.3
54,New Norfolk,AU,2021-03-08 20:24:34,-42.7826,147.0587,57.2,54,20,10.36
55,Batavia,US,2021-03-08 20:25:53,41.85,-88.3126,62.01,41,75,16.11
56,Kahului,US,2021-03-08 20:25:54,20.8947,-156.47,71.6,83,40,17.27
57,Chuy,UY,2021-03-08 20:25:54,-33.6971,-53.4616,76.59,65,100,6.08
58,Luanshya,ZM,2021-03-08 20:25:54,-13.1367,28.4166,63.66,98,100,4.18
59,Kushmurun,KZ,2021-03-08 20:25:54,52.4503,64.6311,15.49,95,100,18.34
60,Georgetown,MY,2021-03-08 20:25:55,5.4112,100.3354,80.01,88,20,2.3
61,Uruzgan,AF,2021-03-08 20:25:55,32.8333,66.0,47.86,47,0,0.47
62,Ponta Do Sol,PT,2021-03-08 20:25:56,32.6667,-17.1,60.01,56,56,5.99
63,Kulykiv,UA,2021-03-08 20:25:56,50.3142,24.8176,27.34,95,0,6.85
64,Kita,ML,2021-03-08 20:25:57,13.0349,-9.4895,89.38,16,96,6.17
65,Broken Hill,AU,2021-03-08 20:25:57,-31.95,141.4333,66.2,55,75,13.8
66,San Vicente,AR,2021-03-08 20:25:57,-26.6167,-54.1333,85.37,30,0,4.63
67,Jamestown,US,2021-03-08 20:25:58,42.097,-79.2353,48.0,39,1,12.59
68,Chokurdakh,RU,2021-03-08 20:25:58,70.6333,147.9167,-17.27,88,96,10.63
